         20475167 function calls (20447362 primitive calls) in 12.383 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      193    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:102(release)
      154    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:142(__init__)
      154    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:146(__enter__)
      154    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:153(__exit__)
      193    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:159(_get_module_lock)
      153    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(cb)
       39    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:178(_lock_unlock_module)
    190/1    0.000    0.000    0.184    0.184 <frozen importlib._bootstrap>:197(_call_with_frames_removed)
     1773    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:208(_verbose_message)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:218(_requires_builtin_wrapper)
      137    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:293(__init__)
      137    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:297(__enter__)
      137    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:304(__exit__)
      540    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(<genexpr>)
      113    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
      160    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:355(__init__)
      246    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:389(cached)
      149    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:402(parent)
      137    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:410(has_location)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:419(spec_from_loader)
      137    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:493(_init_module_attrs)
      137    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap>:553(module_from_spec)
      153    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:57(__init__)
      9/8    0.000    0.000    0.020    0.003 <frozen importlib._bootstrap>:612(_load_backward_compatible)
    146/1    0.001    0.000    0.184    0.184 <frozen importlib._bootstrap>:641(_load_unlocked)
      151    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:698(find_spec)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:719(create_module)
