,Unnamed: 0,id,category,subcategory,transformed category,tuberack,plate,reservoir,trash,other,opentrons_96_tiprack_10ul,opentrons_96_tiprack_20ul,opentrons_96_tiprack_300ul,opentrons_96_tiprack_1000ul,opentrons_96_filtertiprack_10ul,opentrons_96_filtertiprack_20ul,opentrons_96_filtertiprack_200ul,opentrons_96_filtertiprack_1000ul,p10_single,p10_multi,p20_single_gen2,p20_multi_gen2,p50_single,p50_multi,p300_single,p300_multi,p300_single_gen2,p300_multi_gen2,p1000_single,p1000_single_gen2,temperature gen2,temperature gen1,magnetic gen2,magnetic gen1,thermocycler,total tipracks,created,delivered,tat,sf_category,sf_status,sf_assignee
0,0,58d57d,sample prep,plate filling,sample prep,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2021-02-16 06:46:12,2021-03-12,24.0,NGS library prep,Closed,StevenPlonk
1,1,2aee74-48-2,proteins & proteiomics,olink target 48,protein,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2021-06-24 20:00:52,2021-07-12,18.0,Functionalization of electrodes,Closed,StevenPlonk
2,2,1440ad,nucleic acid extraction & purification,rna extraction,extraction,2,1,2,1,2,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,1,0,0,4,2021-05-10 19:39:43,,,NGS library prep,Canceled,chazmanc
3,3,74b303,normalization,normalization and pooling,cherrypicking,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2021-02-18 19:58:51,2021-02-26,8.0,Lab Prep Methods,Closed,sakibh
4,4,04eeb1-part-6,ngs library prep,illumina covidseq test,ngs,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,2021-03-15 17:39:33,2021-03-31,16.0,PCR/qPCR prep,Closed,sakibh
5,5,581011,sample prep,cherrypicking,cherrypicking,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2021-02-23 17:12:37,2021-03-04,9.0,"CSV/Excel File input (for protocols like normalization, cherry picking, DNA assembly, etc)",Closed,sakibh
6,6,demo,getting started,ot-2 demo,other,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2021-05-18 16:10:54,2021-05-28,10.0,"CSV/Excel File input (for protocols like normalization, cherry picking, DNA assembly, etc)",Closed,ncdiehl11
7,7,3fad82-part-2,ngs library prep,nebnext ultra ii fs dna library prep kit for illumina,ngs,0,2,1,1,0,0,0,0,0,0,3,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,5,2021-04-02 15:15:25,2021-04-15,13.0,Patient sample liquid extraction,Closed,sakibh
8,8,3e3c9d-protocol-master-rbc-transfer,sample prep,plate filling,sample prep,4,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2021-07-06 15:22:00,2021-07-21,15.0,"PCR/qPCR prep,CSV/Excel File input (for protocols like normalization, cherry picking, DNA assembly, etc)",Closed,chazmanc
9,9,797dee-normalization,sample prep,normalization,cherrypicking,1,1,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,2021-07-06 19:39:33,,,"CSV/Excel File input (for protocols like normalization, cherry picking, DNA assembly, etc)",Canceled,ramifarawi
10,10,cepheid,sample prep,cepheid,sample prep,3,0,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2021-06-28 04:23:43,2021-08-16,50.0,,Closed,StevenPlonk
11,11,zymo-ribofree-p5-adapter-ligation,ngs library prep,zymo ribofree™ total rna library prep,ngs,0,1,1,1,1,0,5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,5,2021-06-28 04:24:42,,,,Closed,ncdiehl11
12,12,7e4c3e-5,sample prep,plate filling,sample prep,1,1,0,1,1,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2021-06-28 04:25:52,,,,Closed,sakibh
13,13,7aa3fd-library-pooling,ngs library prep,custom,ngs,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,2,2021-06-28 04:26:40,,,,Closed,ramifarawi
14,14,21e4d8-pt2,ngs library prep,twist library prep,ngs,1,3,2,1,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,3,2021-06-01 16:12:30,2021-06-15,14.0,Nucleic acid purification,Closed,StevenPlonk
15,15,29225e-part-2,pcr,pcr prep,pcr,1,1,0,1,3,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,2,2021-06-01 15:24:29,,,Pipetting automation,Canceled,ramifarawi
16,16,558d02,proteins & proteomics,purification,extraction,0,2,2,1,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,7,2021-03-16 07:28:33,2021-04-20,35.0,PCR Clean up,Closed,ncdiehl11
17,17,43163c,nucleic acid extraction & purification,plant dna,extraction,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-07-01 14:54:33,2021-07-14,13.0,"CSV/Excel File input (for protocols like normalization, cherry picking, DNA assembly, etc),Molecular Cloning",Closed,sakibh
18,18,1ccd23-station-A,covid workstation,sample plating,other,4,1,0,1,1,0,0,0,0,0,3,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,5,2021-03-16 18:37:53,2021-03-26,10.0,Nucleic acid purification,Closed,ramifarawi
19,19,nextera-flex-library-prep-amplify-tagmented-dna,ngs library prep,nextera dna flex library prep,ngs,0,1,1,1,1,0,0,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,4,2021-07-01 22:33:49,2021-07-14,13.0,"PCR/qPCR prep,NGS library prep,Nucleic acid purification",Closed,ncdiehl11
20,20,18050b,sample prep,plate filling,sample prep,0,2,0,1,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2021-04-02 17:11:16,2021-04-15,13.0,PCR/qPCR prep,Closed,StevenPlonk
21,21,7e4c3e-2,sample prep,plate filling,sample prep,0,1,0,1,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2021-10-04 21:58:34,,,PCR/qPCR prep,In Progress,ramifarawi
22,22,659888,sample prep,plate filling,sample prep,0,10,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2021-07-06 16:00:00,,,Other,Closed,ncdiehl11
23,23,243973,sample prep,normalization,cherrypicking,0,8,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2021-05-28 21:43:52,2021-06-10,13.0,NGS library prep,Closed,sakibh
24,24,313086-logixsmart-station-B,covid workstation,qpcr setup,pcr,1,2,0,1,0,8,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2021-05-18 00:24:15,2021-06-23,37.0,"Pooling samples 2, 4, 5 samples  100ul per sample for swabs only",Closed,ramifarawi
25,25,4fa62e,pcr,pcr prep,pcr,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2021-05-18 09:25:09,2021-05-26,8.0,Nucleic acid purification,Closed,sakibh
26,26,295c73,ngs library prep,accel-amplicon plus egfr pathway panel,ngs,0,4,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,2,2021-03-15 21:28:41,2021-03-19,4.0,Sterile workflows (cell culture and related assays),Closed,chazmanc
27,27,nextera-flex-library-prep-tagment-dna,ngs library prep,nextera dna flex library prep,ngs,0,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2021-02-25 14:24:57,2021-05-10,74.0,sampling of VTM,Closed,ramifarawi
