activateable,createable,custom,customSetting,deletable,deprecatedAndHidden,feedEnabled,hasSubtypes,isSubtype,keyPrefix,label,labelPlural,layoutable,mergeable,mruEnabled,name,queryable,replicateable,retrieveable,searchable,triggerable,undeletable,updateable,urls
False,False,False,False,False,False,False,False,False,,Accepted Event Relation,Accepted Event Relations,False,False,False,AcceptedEventRelation,True,False,True,False,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v42.0/sobjects/AcceptedEventRelation/{ID}'), ('describe', '/services/data/v42.0/sobjects/AcceptedEventRelation/describe'), ('sobject', '/services/data/v42.0/sobjects/AcceptedEventRelation')])"
False,True,False,False,True,False,True,False,False,001,Account,Accounts,True,True,True,Account,True,True,True,True,True,True,True,"OrderedDict([('compactLayouts', '/services/data/v42.0/sobjects/Account/describe/compactLayouts'), ('rowTemplate', '/services/data/v42.0/sobjects/Account/{ID}'), ('approvalLayouts', '/services/data/v42.0/sobjects/Account/describe/approvalLayouts'), ('listviews', '/services/data/v42.0/sobjects/Account/listviews'), ('describe', '/services/data/v42.0/sobjects/Account/describe'), ('quickActions', '/services/data/v42.0/sobjects/Account/quickActions'), ('layouts', '/services/data/v42.0/sobjects/Account/describe/layouts'), ('sobject', '/services/data/v42.0/sobjects/Account')])"
False,False,False,False,False,False,False,False,False,,Account Change Event,Account Change Event,False,False,False,AccountChangeEvent,False,False,True,False,True,False,False,"OrderedDict([('rowTemplate', '/services/data/v42.0/sobjects/AccountChangeEvent/{ID}'), ('eventSchema', '/services/data/v42.0/sobjects/AccountChangeEvent/eventSchema'), ('describe', '/services/data/v42.0/sobjects/AccountChangeEvent/describe'), ('sobject', '/services/data/v42.0/sobjects/AccountChangeEvent')])"
False,True,False,False,True,False,False,False,False,07k,Account Contact Relationship,Account Contact Relationships,True,False,False,AccountContactRelation,True,True,True,False,True,False,True,"OrderedDict([('compactLayouts', '/services/data/v42.0/sobjects/AccountContactRelation/describe/compactLayouts'), ('rowTemplate', '/services/data/v42.0/sobjects/AccountContactRelation/{ID}'), ('describe', '/services/data/v42.0/sobjects/AccountContactRelation/describe'), ('quickActions', '/services/data/v42.0/sobjects/AccountContactRelation/quickActions'), ('layouts', '/services/data/v42.0/sobjects/AccountContactRelation/describe/layouts'), ('sobject', '/services/data/v42.0/sobjects/AccountContactRelation')])"
False,True,False,False,True,False,False,False,False,02Z,Account Contact Role,Account Contact Roles,False,False,False,AccountContactRole,True,True,True,False,False,False,True,"OrderedDict([('rowTemplate', '/services/data/v42.0/sobjects/AccountContactRole/{ID}'), ('describe', '/services/data/v42.0/sobjects/AccountContactRole/describe'), ('sobject', '/services/data/v42.0/sobjects/AccountContactRole')])"
False,False,False,False,True,False,False,False,False,,Account Feed,Account Feed,False,False,False,AccountFeed,True,True,True,False,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v42.0/sobjects/AccountFeed/{ID}'), ('describe', '/services/data/v42.0/sobjects/AccountFeed/describe'), ('sobject', '/services/data/v42.0/sobjects/AccountFeed')])"
False,False,False,False,False,False,False,False,False,,Account History,Account History,False,False,False,AccountHistory,True,True,True,False,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v42.0/sobjects/AccountHistory/{ID}'), ('describe', '/services/data/v42.0/sobjects/AccountHistory/describe'), ('sobject', '/services/data/v42.0/sobjects/AccountHistory')])"
False,True,False,False,True,False,False,False,False,00I,Account Partner,Account Partner,False,False,False,AccountPartner,True,False,True,False,False,False,False,"OrderedDict([('compactLayouts', '/services/data/v42.0/sobjects/AccountPartner/describe/compactLayouts'), ('rowTemplate', '/services/data/v42.0/sobjects/AccountPartner/{ID}'), ('describe', '/services/data/v42.0/sobjects/AccountPartner/describe'), ('sobject', '/services/data/v42.0/sobjects/AccountPartner')])"
False,True,False,False,True,False,False,False,False,00r,Account Share,Account Share,False,False,False,AccountShare,True,False,True,False,False,False,True,"OrderedDict([('rowTemplate', '/services/data/v42.0/sobjects/AccountShare/{ID}'), ('describe', '/services/data/v42.0/sobjects/AccountShare/describe'), ('sobject', '/services/data/v42.0/sobjects/AccountShare')])"
False,True,False,False,True,False,False,False,False,01M,Account Team Member,Account Team,True,False,False,AccountTeamMember,True,True,True,False,True,False,True,"OrderedDict([('compactLayouts', '/services/data/v42.0/sobjects/AccountTeamMember/describe/compactLayouts'), ('rowTemplate', '/services/data/v42.0/sobjects/AccountTeamMember/{ID}'), ('describe', '/services/data/v42.0/sobjects/AccountTeamMember/describe'), ('layouts', '/services/data/v42.0/sobjects/AccountTeamMember/describe/layouts'), ('sobject', '/services/data/v42.0/sobjects/AccountTeamMember')])"
