Number of Redo
28
pos TB_RCK_1,pos MTP_1,VolumeInPlate,VolumeFromTube
RPL220225NR,9094087_6_AAB_4_4_1
1,6,93,120
2,55,93,120
3,78,93,120
4,108,93,120
5,121,93,120
6,178,93,120
7,217,93,120
8,227,93,120
9,228,93,120
10,237,93,120
11,245,93,120
12,248,93,120
13,255,93,120
14,257,93,120
15,261,93,120
16,265,93,120
17,266,93,120
18,267,93,120
19,271,93,120
20,283,93,120
21,284,93,120
22,301,93,120
23,316,93,120
24,330,93,120
25,331,93,120
26,332,93,120
27,338,93,120
28,348,93,120
