Number of Redo
65
pos TB_RCK_1,pos MTP_1,VolumeInPlate,VolumeFromTube
RPL220225NW,9094076_6_AAC_1_4_1
1,81,93,120
2,161,93,120
3,177,93,120
4,193,93,120
5,225,93,120
6,241,93,120
7,257,93,120
8,18,93,120
9,82,93,120
10,146,93,120
11,178,93,120
12,210,93,120
13,370,93,120
14,68,93,120
15,84,93,120
16,180,93,120
17,340,93,120
18,53,93,120
19,69,93,120
20,149,93,120
21,229,93,120
22,325,93,120
23,86,93,120
24,102,93,120
25,134,93,120
26,278,93,120
27,310,93,120
28,342,93,120
29,23,93,120
30,119,93,120
31,135,93,120
32,151,93,120
33,247,93,120
34,263,93,120
35,343,93,120
36,136,93,120
37,152,93,120
38,216,93,120
39,264,93,120
40,344,93,120
41,57,93,120
42,121,93,120
43,137,93,120
44,169,93,120
45,345,93,120
46,155,93,120
47,171,93,120
48,187,93,120
49,203,93,120
50,363,93,120
51,44,93,120
52,172,93,120
53,252,93,120
54,316,93,120
55,332,93,120
56,125,93,120
57,237,93,120
58,317,93,120
59,349,93,120
60,94,93,120
61,126,93,120
62,174,93,120
63,190,93,120
64,144,93,120
65,352,93,120
